Start,arrivals,departures
"Sardinia Street, Holborn",10904,10723
"Saunders Ness Road, Cubitt Town",9883,8905
"Scala Street, Fitzrovia",8919,8579
"Sea Containers, South Bank",19379,18934
"Sedding Street, Sloane Square",21797,20141
"Selby Street, Whitechapel",4545,4768
"Serpentine Car Park, Hyde Park",38043,38132
"Seville Street, Knightsbridge",14273,13737
"Seymour Place, Marylebone",10771,11167
"Shadwell Station, Shadwell",16816,17823
"Sheepcote Lane, Battersea",6435,6786
"Shoreditch Court, Haggerston",9071,10158
"Shoreditch High Street, Shoreditch",28935,28771
"Shoreditch Park, Hoxton",13879,16321
"Shouldham Street, Marylebone",8493,9136
"Sidney Road, Stockwell",6410,6860
"Silverthorne Road, Battersea",7138,6901
"Simpson Street, Clapham Junction",12066,12084
"Sirdar Road, Avondale",2750,2679
"Sloane Avenue, Knightsbridge",17690,17698
"Smith Square, Westminster",13989,12815
"Smugglers Way, Wandsworth",7045,6919
"Snow Hill, Farringdon",19503,19274
"Snowsfields, London Bridge",16524,15127
"Soho Square , Soho",41297,33396
"Somerset House, Strand",31726,28359
"Sopwith Way, Battersea Park",14430,14212
"South Kensington Station, South Kensington",31537,30549
"South Lambeth Road, Vauxhall",12501,12335
"South Parade, Chelsea",6950,6779
"South Wharf Road, Paddington",24244,26356
"Southampton Place, Holborn",13666,13046
"Southampton Street, Strand",19506,17926
"Southerton Road, Hammersmith",9236,8729
"Southwark Station 1, Southwark",10768,9934
"Southwark Station 2, Southwark",14189,14612
"Southwark Street, Bankside",9336,9003
"Southwick Street, Paddington",11293,12430
"Spanish Road, Clapham Junction",1904,2645
"Spindrift Avenue, Millwall",3666,3503
"St John's Crescent, Brixton",6347,5966
"St. Bride Street, Holborn",26133,21928
"St. Chad's Street, King's Cross",9774,8465
"St. George Street, Mayfair",13070,10728
"St. George's Square, Pimlico",14316,15429
"St. James's Square, St. James's",38812,29867
"St. John Street, Finsbury",6610,7595
"St. John's Road, Clapham Junction",9852,8184
"St. John's Wood Road, St. John's Wood",4386,6351
"St. Katharine's Way, Tower",12305,12516
"St. Luke's Church, Chelsea",11155,11410
"St. Martin's Street, West End",12485,11298
"St. Mary & St. Michael Church, Stepney",3051,3760
