Station Name,Lat,Lng,Borough
"Natural History Museum, South Kensington",51.494018,-0.13623,City of Westminster
"Stanhope Gate, Mayfair",51.508184,-0.193566,Kensington and Chelsea
"George Place Mews, Marylebone",51.508448,-0.131887,City of Westminster
"Warwick Avenue Station, Maida Vale",51.474248,-0.171254,Wandsworth
"Curzon Street, Mayfair",51.525486,-0.138213,Camden
"William IV Street, Strand",51.509443,-0.124383,City of Westminster
"Waterloo Road, South Bank",51.486561,-0.115369,Lambeth
"Queen's Gate (Central), South Kensington",51.506493,-0.142975,City of Westminster
"Pindar Street, Liverpool Street",51.507199,-0.10619,Southwark
"Royal Avenue 1, Chelsea",51.491684,-0.004786,Tower Hamlets
"Abingdon Villas, Kensington",51.529291,-0.109478,Islington
"St. Mary & St. Michael Church, Stepney",51.525011,-0.16621,City of Westminster
"St. Martin's Street, West End",51.518375,-0.122189,Camden
"Lambeth North Station, Waterloo",51.490689,-0.196443,Kensington and Chelsea
"Bradmead, Battersea Park",51.505174,-0.193929,Kensington and Chelsea
"Spencer Park, Wandsworth Common",51.497973,-0.183834,Kensington and Chelsea
"Coomer Place, West Kensington",51.469305,-0.15158,Wandsworth
"Vicarage Crescent, Battersea",51.54105,-0.143187,Camden
"Stainsby Road , Poplar",51.515205,-0.014116,Tower Hamlets
"Ada Street, Hackney Central",51.461632,-0.216565,Wandsworth
"Marylebone Lane, Marylebone",51.517373,-0.150777,City of Westminster
"Albert Gate, Hyde Park",51.503008,-0.204135,Kensington and Chelsea
"Kennington Lane Tesco, Vauxhall",51.479975,-0.140124,Wandsworth
"Great Percy Street, Clerkenwell",51.496473,-0.102973,Southwark
"Ontario Street, Elephant & Castle",51.517855,-0.200956,Kensington and Chelsea
"Craven Street, Strand",51.516897,-0.179886,City of Westminster
"Bow Road Station, Bow",51.511889,-0.206078,Kensington and Chelsea
"Ansell House, Stepney",51.479583,-0.179072,Kensington and Chelsea
"Russell Gardens, Olympia",51.487513,-0.126818,Lambeth
"Kensington Olympia Station, Olympia",51.469065,-0.194268,Hammersmith and Fulham
"Usk Road, Clapham Junction",51.491702,-0.229521,Hammersmith and Fulham
"Hartington Road, Stockwell",51.500111,-0.078528,Southwark
"Stanley Grove, Battersea",51.527078,-0.02585,Tower Hamlets
"Felsham Road, Putney",51.467681,-0.174239,Wandsworth
"Warren Street Station, Euston",51.517052,-0.174371,City of Westminster
"Colombo Street, Southwark",51.488056,-0.021158,Tower Hamlets
"Eastbourne Mews, Paddington",51.506816,-0.092749,Southwark
"Preston's Road, Cubitt Town",51.519022,-0.032768,Tower Hamlets
"Crabtree Lane, Fulham",51.511899,-0.107156,City of London
"Upper Bank Street, Canary Wharf",51.490092,-0.148363,City of Westminster
"Globe Town Market, Bethnal Green",51.524991,-0.122021,Camden
"Westminster University, Marylebone",51.507572,-0.058596,Tower Hamlets
"Baylis Road, Waterloo",51.499122,-0.112052,Lambeth
"Orsett Terrace, Bayswater",51.521411,-0.164574,City of Westminster
"Eccleston Place, Victoria",51.506845,-0.123959,City of Westminster
"Green Street, Mayfair",51.519613,-0.06365,Tower Hamlets
"Park Lane, Mayfair",51.511891,-0.0137,Tower Hamlets
"Grant Road East, Clapham Junction",51.488091,-0.109927,Lambeth
"Chapel Place, Marylebone",51.525311,-0.115514,Islington
"West Cromwell Road, Earl's Court",51.543399,-0.139768,Camden
"Lexham Gardens, Kensington",51.522458,-0.154845,City of Westminster
"New Kent Road, The Borough",51.494902,-0.098324,Southwark
"Great Tower Street, Monument",51.510432,-0.082866,City of London
"Endsleigh Gardens, Euston",51.526753,-0.130549,Camden
"Old Brompton Road, South Kensington",51.511451,-0.064099,Tower Hamlets
"Hinde Street, Marylebone",51.508042,-0.125915,City of Westminster
"Campden Hill Road, Notting Hill",51.46858,-0.184563,Hammersmith and Fulham
"Kennington Road  , Vauxhall",51.484442,-0.110106,Lambeth
"Dock Street, Wapping",51.497951,-0.194828,Kensington and Chelsea
"Wenlock Road , Hoxton",51.50218,-0.074223,Southwark
"Phene Street, Chelsea",51.523695,-0.183498,City of Westminster
"Stephendale Road, Sands End",51.523542,-0.108332,Islington
